NOM_ARROND,LATITUDE,LONGITUDE
"Ahuntsic-Cartierville",45.5447,-73.6681
"Anjou",45.6160,-73.5694
"Côte-des-Neiges-Notre-Dame-de-Grâce",45.4912,-73.6327
"Lachine",45.4413,-736886
"LaSalle",45.4306,-73.6348
"Le Plateau-Mont-Royal",45.5232,-73.5870
"Le Sud-Ouest",45.4661,-73.5939
"L'Île-Bizard-Sainte-Geneviève",45.4949,-73.8908
"Mercier-Hochelaga-Maisonneuve",45.5730,-73.5308
"Montréal-Nord",45.6072,-73.6315
"Outremont",45.5143,-73.6090
"Pierrefonds-Roxboro",45.5096,-73.8192
"Rivière-des-Prairies-Pointe-aux-Trembles",45.6572,-73.5671
"Rosemont-La Petite-Patrie",45.5517,-73.5836
"Saint-Laurent",45.4986,-73.7498
"Saint-Léonard",45.5875,-73.5970
"Verdun",45.4548,-73.5699
"Ville-Marie",45.5088,-73.5553
"Villeray-Saint-Michel-Parc-Extension",45.5553,-73.6083
